Title,Document Name,Ark Identifier,July,August,September,Total
"Amanda Barnes Smith papers",uum_accn1605.xml,80444/xv11431,13,5,4,22
"Jan Harold Brunvand papers",uum_accn1024.xml,80444/xv41549,2,8,12,22
"Hampton Godbe papers",uum_ms0664.xml,80444/xv97659,7,6,9,22
"Thorne Mayes photograph collection",uum_p0355.xml,80444/xv91540,12,2,8,22
"Norman D. and Doris Nevills papers",uum_ms0552.xml,80444/xv71887,4,10,8,22
"George Teasdale photograph collection",uum_p0532.xml,80444/xv83676,14,4,4,22
"Josie Bassett McKnight Wells Morris oral history interview",uum_ms0440.xml,80444/xv78237,14,6,1,21
"Jean Westwood photograph collection",uum_p0112.xml,80444/xv79882,9,9,3,21
"Agnes Just Reid photograph collection",uum_p0249.xml,80444/xv18173,4,12,5,21
"David H. Christensen photograph collection",uum_p0369.xml,80444/xv80014,6,8,7,21
"Frederick Kesler photograph collection",uum_p0049.xml,80444/xv40600,11,7,3,21
"Newhouse Mines and Smelters records",uum_accn1924.xml,80444/xv02972,6,7,8,21
"Thomas Caldwell Adams papers",uum_ms0043.xml,80444/xv55331,8,7,6,21
"Nauvoo Temple sealing records",uum_accn2113.xml,80444/xv01635,9,8,4,21
"William Budge papers",uum_accn2151.xml,80444/xv65585,9,12,0,21
"Ariel S. Ballif Jr. papers",uum_accn2127.xml,80444/xv61318,17,1,3,21
"Ralph Chamberlain photograph collection",uum_p0287.xml,80444/xv61834,12,6,3,21
"Hans Olson Magleby papers",uum_ms0047.xml,80444/xv35317,5,13,3,21
"Maurice Abravanel photograph collection",uum_p0590.xml,80444/xv04708,10,3,8,21
"University of Utah Middle East Center records",uum_acc0464.xml,80444/xv25085,2,8,11,21
"Burton Howard and Angelina Carhart Tallmon Jones papers",uum_accn2132.xml,80444/xv33609,4,6,11,21
"Zion's Cooperative Mercantile Institution (ZCMI) records",uum_accn0756.xml,80444/xv93444,14,2,5,21
"Jewish Archives Photograph Archives",uum_p0224.xml,80444/xv80294,14,6,1,21
"George Teasdale papers",uum_ms0678.xml,80444/xv07150,3,11,7,21
"University of Utah Bureau of Economic and Business Research The economic status of the University of Utah federal land grants",uum_acc0033.xml,80444/xv42935,10,8,2,20
"University of Utah Facilities Planning and Construction Office records",uum_acc0416.xml,80444/xv34857,6,1,13,20
"Margie of the Wasatch motion picture",uum_a0699.xml,80444/xv61798,5,7,8,20
"Bullion Beck and Champion Mining Company records",uum_ms0220.xml,80444/xv16104,4,11,5,20
"Uintah Basin oral history project",uum_accn0772.xml,80444/xv85006,2,7,11,20
"Joseph S. Peery Audio Visual Collection",uum_a0935.xml,80444/xv39660,11,6,3,20
"Max H. Parkin papers",uum_accn1539.xml,80444/xv51602,1,13,6,20
"Jack Goodman papers",uum_accn1521.xml,80444/xv99084,3,9,8,20
"Walker House guest register",uum_accn1616.xml,80444/xv47763,6,8,6,20
"Alexander Baird papers",uum_accn1994.xml,80444/xv03228,7,10,3,20
