Title,Document Name,Ark Identifier,July,August,September,Total
"Goldstone (Nathan C.) Papers",oru_ax390.xml,80444/xv52004,0,2,4,6
"Allen Family papers",oru_ax009.xml,80444/xv22592,0,2,4,6
"Castor (Henry) papers",oru_ax847.xml,80444/xv61627,3,1,2,6
"Savage (Carlton) papers",oru_coll216.xml,80444/xv88739,0,5,1,6
"School of Architecture and Allied Arts (AAA) records",oru_ua033.xml,80444/xv66732,0,2,4,6
"Clarke (Samuel Asahel) papers",oru_cbc556.xml,80444/xv10107,5,0,1,6
"Gordon (Wyona Eliza Surfus) Papers",oru_cbg659.xml,80444/xv10609,3,0,3,6
"Congdon (Herbert W.) papers",oru_ax593.xml,80444/xv74133,1,4,1,6
"Glen (Charles) Sutherlin, Oregon and vicinity photograph albums",oru_ph203_030.xml,80444/xv90989,0,1,5,6
"Stein (Harvé) Papers",oru_ax729.xml,80444/xv91330,1,3,2,6
"Sweetser (Carrie) papers",oru_coll237.xml,80444/xv59289,0,2,4,6
"Department of Military Science and ROTC program records",oru_ua064.xml,80444/xv39035,3,3,0,6
"Crawford (William James) Papers",oru_ax636.xml,80444/xv39337,0,2,4,6
"Saylor (Frederick H.) papers",oru_casa99.xml,80444/xv76605,0,3,3,6
"Jewett (Garry W.) papers",oru_ax147.xml,80444/xv94400,3,2,1,6
"Quayle (William Alfred) selected papers",oru_coll006.xml,80444/xv81494,2,1,3,6
"Hayward (Nancy) Selected Papers of",oru_coll007.xml,80444/xv78118,3,2,1,6
"Rostel (Carl Gotthilf Berthold) papers",oru_ax086.xml,80444/xv72595,6,0,0,6
"Hawks (William) and Canfield (George S.) real estate correspondence",oru_bx013.xml,80444/xv93127,2,4,0,6
"Willamette Cattle Company correspondence and receipts",oru_b081.xml,80444/xv52716,1,1,4,6
"Oregon AFL-CIO records",oru_bx165.xml,80444/xv01766,0,1,5,6
"Dresser (Robert B.) papers",oru_ax816.xml,80444/xv88720,5,0,1,6
"Waller (Alvin F.) letter",oru_ca1850sept11.xml,80444/xv11273,4,0,2,6
"Mary Cleveland (Schooner) bill of lading",oru_ca1863may6.xml,80444/xv40002,0,4,2,6
"Coffin (Stephen) deed",oru_ca1850june17.xml,80444/xv18572,3,1,2,6
